record_id,company_name,source_url,source_text_path,mhlw_source_url,mhlw_text_path,association_text_path,verification_status
company-9d56a610,株式会社グラン・メディコ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300362%2C1+++++,data/raw/mhlw/detail-0028-01_ユ_300362.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300362%2C1+++++,data/raw/mhlw/detail-0028-01_ユ_300362.html,,mhlw_verified
company-8964c5c7,三鉱建設株式会社,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300363%2C1+++++,data/raw/mhlw/detail-0029-01_ユ_300363.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300363%2C1+++++,data/raw/mhlw/detail-0029-01_ユ_300363.html,,mhlw_verified
company-d7a3f304,株式会社大原キャリアスタッフ北海道,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300364%2C1+++++,data/raw/mhlw/detail-0030-01_ユ_300364.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300364%2C1+++++,data/raw/mhlw/detail-0030-01_ユ_300364.html,,mhlw_verified
company-7106e213,株式会社 エーピーアール,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300390%2C1+++++,data/raw/mhlw/detail-0031-01_ユ_300390.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300390%2C1+++++,data/raw/mhlw/detail-0031-01_ユ_300390.html,,mhlw_verified
company-8ba60540,楡創研 株式会社,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300395%2C1+++++,data/raw/mhlw/detail-0032-01_ユ_300395.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300395%2C1+++++,data/raw/mhlw/detail-0032-01_ユ_300395.html,,mhlw_verified
company-c7679cbe,株式会社 ソフトガーデン,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C1+++++,data/raw/mhlw/detail-0033-01_ユ_300398.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C1+++++,data/raw/mhlw/detail-0033-01_ユ_300398.html,,mhlw_verified
company-5199a227,株式会社 ソフトガーデン,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C2+++++,data/raw/mhlw/detail-0034-01_ユ_300398.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300398%2C2+++++,data/raw/mhlw/detail-0034-01_ユ_300398.html,,mhlw_verified
company-6460faa6,伊達環境管理株式会社,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300404%2C1+++++,data/raw/mhlw/detail-0035-01_ユ_300404.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300404%2C1+++++,data/raw/mhlw/detail-0035-01_ユ_300404.html,,mhlw_verified
company-509ae6cc,株式会社 ＮＴＴネクシア,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C0+++++,data/raw/mhlw/detail-0036-01_ユ_300412.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C0+++++,data/raw/mhlw/detail-0036-01_ユ_300412.html,,mhlw_verified
company-81eec7c3,株式会社 ＮＴＴネクシア,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C2+++++,data/raw/mhlw/detail-0037-01_ユ_300412.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300412%2C2+++++,data/raw/mhlw/detail-0037-01_ユ_300412.html,,mhlw_verified
